V_BE	g3_bjt1
8.89500000000000140E-1	-1.74001133042858000E1
8.90500000000000110E-1	-1.79048015588536420E1
8.91500000000000270E-1	-1.83818531568173780E1
8.92500000000000070E-1	-1.88320085818394030E1
8.93500000000000230E-1	-1.92560239967627210E1
8.94500000000000030E-1	-1.96546651774536050E1
8.95500000000000180E-1	-2.00287047494302860E1
8.96499999999999990E-1	-2.03789203194153320E1
8.97500000000000140E-1	-2.07060899703543730E1
8.98500000000000120E-1	-2.10109905072068770E1
8.99500000000000100E-1	-2.12943962559393010E1
9.00500000000000080E-1	-2.15570749731219640E1
9.01500000000000230E-1	-2.17997874639990030E1
9.02500000000000040E-1	-2.20232856438475680E1
9.03500000000000190E-1	-2.22283105039502220E1
9.04500000000000170E-1	-2.24155910715917230E1
9.05500000000000150E-1	-2.25858445514397270E1
9.06500000000000130E-1	-2.27397724443836100E1
9.07500000000000280E-1	-2.28780631826315030E1
9.08500000000000090E-1	-2.30013882913588710E1
9.09500000000000240E-1	-2.31104043845862030E1
9.10500000000000040E-1	-2.32057509257197260E1
9.11500000000000200E-1	-2.32880501715659660E1
9.12500000000000000E-1	-2.33579080321235420E1
9.13500000000000160E-1	-2.34159133568936140E1
9.14500000000000140E-1	-2.34626347212118840E1
9.15500000000000110E-1	-2.34986280461688460E1
9.16500000000000090E-1	-2.35244263034410710E1
9.17500000000000250E-1	-2.35405510876067540E1
9.18500000000000050E-1	-2.35474994441062570E1
9.19500000000000210E-1	-2.35457597128147840E1
9.20500000000000180E-1	-2.35357954312820140E1
9.21500000000000160E-1	-2.35180588434489080E1
9.22500000000000140E-1	-2.34929847284552680E1
9.23500000000000300E-1	-2.34609897543385020E1
9.24500000000000100E-1	-2.34224775519584540E1
9.25500000000000260E-1	-2.33778348270714310E1
9.26500000000000060E-1	-2.33274339850981560E1
9.27500000000000210E-1	-2.32716323080252920E1
9.28500000000000010E-1	-2.32107740256725980E1
9.29500000000000170E-1	-2.31451874812042880E1
9.30500000000000150E-1	-2.30751898637095780E1
9.31500000000000130E-1	-2.30010833012368240E1
9.32500000000000110E-1	-2.29231603913544250E1
9.33500000000000260E-1	-2.28416961796904290E1
9.34500000000000060E-1	-2.27569600184360570E1
9.35500000000000220E-1	-2.26692066084628110E1
9.36500000000000200E-1	-2.25786785316856920E1
9.37500000000000180E-1	-2.24856120036207360E1
9.38500000000000160E-1	-2.23902280472363160E1
9.39500000000000310E-1	-2.22927425054808340E1
9.40500000000000110E-1	-2.21933580616901830E1
9.41500000000000270E-1	-2.20922723651133300E1
9.42500000000000070E-1	-2.19896703282231700E1
9.43500000000000230E-1	-2.18857324964707270E1
9.44500000000000030E-1	-2.17806291411863740E1
9.45500000000000180E-1	-2.16745246744709340E1
9.46500000000000160E-1	-2.15675771137120260E1
9.47500000000000140E-1	-2.14599356890108160E1
9.48500000000000120E-1	-2.13517456761948220E1


V_BE	g3_bjt4
7.21499999999999990E-1	1.76985828546427480E0
7.22499999999999960E-1	1.83618263604300000E0
7.23500000000000030E-1	1.90490629068041350E0
7.24499999999999920E-1	1.97610917464636880E0
7.25500000000000080E-1	2.04987333314789000E0
7.26499999999999880E-1	2.12628292596844610E0
7.27500000000000040E-1	2.20542422789115290E0
7.28499999999999930E-1	2.28738565001096950E0
7.29499999999999990E-1	2.37225769492975310E0
7.30499999999999970E-1	2.46013298794178550E0
7.31500000000000040E-1	2.55110621264611790E0
7.32499999999999930E-1	2.64527411281112230E0
7.33500000000000090E-1	2.74273544389477570E0
7.34499999999999890E-1	2.84359093061872550E0
7.35500000000000040E-1	2.94794319568824910E0
7.36499999999999930E-1	3.05589672374117780E0
7.37500000000000000E-1	3.16755774601047420E0
7.38499999999999980E-1	3.28303417586952850E0
7.39500000000000050E-1	3.40243549245516610E0
7.40499999999999940E-1	3.52587261902245430E0
7.41500000000000090E-1	3.65345778765164790E0
7.42499999999999890E-1	3.78530439308510580E0
7.43500000000000050E-1	3.92152681070048410E0
7.44499999999999940E-1	4.06224020985075280E0
7.45500000000000010E-1	4.20756034824261070E0
7.46499999999999990E-1	4.35760332089269920E0
7.47500000000000050E-1	4.51248532897761570E0
7.48499999999999940E-1	4.67232235635031310E0
7.49500000000000100E-1	4.83722991745857560E0
7.50499999999999900E-1	5.00732265927747020E0
7.51500000000000060E-1	5.18271403742420310E0
7.52499999999999950E-1	5.36351590003100220E0
7.53500000000000010E-1	5.54983806095049110E0
7.54499999999999990E-1	5.74178783284864470E0
7.55500000000000060E-1	5.93946953959059170E0
7.56499999999999950E-1	6.14298395012088430E0
7.57500000000000110E-1	6.35251283376921890E0
7.58499999999999910E-1	6.56844265942390580E0
7.59500000000000060E-1	6.79025792491005300E0
7.60499999999999950E-1	7.01814879283784610E0
7.61500000000000020E-1	7.25231518425508610E0
7.62500000000000000E-1	7.49282432158939660E0
7.63500000000000070E-1	7.73973499051715930E0
7.64499999999999960E-1	7.99309673324479600E0
7.65500000000000110E-1	8.25294896444233390E0
7.66499999999999910E-1	8.51931995584456030E0
7.67500000000000070E-1	8.79222585595403670E0
7.68499999999999960E-1	9.07166965949384440E0
7.69500000000000030E-1	9.35764006468363970E0
7.70500000000000010E-1	9.65011039187018400E0
7.71500000000000070E-1	9.94903738216922660E0
7.72499999999999960E-1	1.02543599885133640E1
7.73500000000000120E-1	1.05659981542521790E1
7.74499999999999920E-1	1.08838515251761710E1
7.75500000000000080E-1	1.12077981896291280E1
7.76499999999999970E-1	1.15376933259406700E1
7.77500000000000040E-1	1.18733679269510310E1
7.78500000000000010E-1	1.22146274561597430E1
7.79500000000000080E-1	1.25612505185024200E1
7.80499999999999970E-1	1.29129875878688960E1
7.81500000000000130E-1	1.32695597123560380E1
7.82499999999999930E-1	1.36306572388911620E1
7.83500000000000090E-1	1.39959386467419680E1
7.84499999999999980E-1	1.43650294475989200E1
7.85500000000000040E-1	1.47375209792364600E1
7.86500000000000020E-1	1.51129696091110580E1
7.87500000000000090E-1	1.54908957317994460E1
7.88499999999999980E-1	1.58707830437229560E1
7.89500000000000140E-1	1.62520780028278940E1
7.90499999999999940E-1	1.66341892058413520E1
7.91500000000000090E-1	1.70164873426978790E1
7.92499999999999980E-1	1.73983048596123410E1
7.93500000000000050E-1	1.77789362104207990E1
7.94500000000000030E-1	1.81576382867405360E1
7.95500000000000100E-1	1.85336307625031220E1
7.96499999999999990E-1	1.89060972334099510E1
7.97500000000000140E-1	1.92741862258213150E1
7.98499999999999940E-1	1.96370126435180080E1
7.99500000000000100E-1	1.99936595549417940E1
8.00499999999999900E-1	2.03431803349979170E1
8.01500000000000060E-1	2.06846009520407040E1
8.02500000000000040E-1	2.10169228627914250E1
8.03500000000000010E-1	2.13391260850315060E1
8.04499999999999990E-1	2.16501725856284910E1
8.05500000000000150E-1	2.19490101920183190E1
8.06499999999999950E-1	2.22345767058712380E1
8.07500000000000110E-1	2.25058043183507860E1
8.08500000000000090E-1	2.27616244338080080E1
8.09500000000000060E-1	2.30009728201528760E1
8.10500000000000040E-1	2.32227947924280360E1
8.11500000000000200E-1	2.34260510446265610E1
8.12500000000000000E-1	2.36097230698151030E1
8.13500000000000160E-1	2.37728196068562660E1
8.14499999999999960E-1	2.39143821926992350E1
8.15500000000000110E-1	2.40334918006692490E1
8.16499999999999910E-1	2.41292745744665420E1
8.17500000000000070E-1	2.42009082409744060E1
8.18500000000000050E-1	2.42476282153642810E1
8.19500000000000030E-1	2.42687330516417670E1
8.20500000000000010E-1	2.42635906884538290E1
8.21500000000000160E-1	2.42316433438198640E1
8.22499999999999960E-1	2.41724129668272390E1
8.23500000000000120E-1	2.40855055570629920E1
8.24500000000000100E-1	2.39706155427747760E1
8.25500000000000080E-1	2.38275294452467800E1
8.26500000000000060E-1	2.36561288684300260E1
8.27500000000000210E-1	2.34563931670821280E1
8.28500000000000010E-1	2.32284009831911000E1
8.29500000000000170E-1	2.29723319536740740E1
8.30499999999999970E-1	2.26884664381834340E1
8.31500000000000130E-1	2.23771856984964310E1
8.32499999999999930E-1	2.20389709384711590E1
8.33500000000000090E-1	2.16744011554803430E1
8.34500000000000060E-1	2.12841508392522630E1
8.35500000000000040E-1	2.08689870090854420E1
8.36500000000000020E-1	2.04297648590838590E1
8.37500000000000180E-1	1.99674236241888890E1
8.38499999999999980E-1	1.94829811723459610E1


